taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,created,modified,reference,source,majorGroup,tplID
wfo-0000400732,urn:lsid:ipni.org:names:332600-1,557703,Rhododendron hyacinthosmum,species,wfo-1200001480,Sleumer,Ericaceae,Ericoideae,,,Rhododendron,Vireya,hyacinthosmum,,species,Valid,Blumea 21: 363 (1973),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Blumea 21: 363 1973 to Blumea 21: 363 (1973), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2419543 >The Pla",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000400732,The Ericaceae TEN,A,kew-2419543
wfo-0001250519,urn:lsid:ipni.org:names:932265-1,50156112,Rhododendron mianningense,species,wfo-1000002622,Z.J.Zhao,Ericaceae,Ericoideae,,,Rhododendron,Rhododendron,mianningense,,species,Valid,"Bull. Bot. Res., Harbin 7(3): 59 (1987)",Accepted,,,,"Source in seed data: tro Update namepublishedIn from Bull. Bot. Res., Harbin 7(3): 59 1987 to Bull. Bot. Res., Harbin 7(3): 59 (1987), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.or",2022-04-16,2024-11-27,,The Ericaceae TEN,A,tro-50156112
wfo-0001048920,urn:lsid:ipni.org:names:332388-1,12305048,Rhododendron esquirolii,species,,H.Lév.,Ericaceae,Ericoideae,,,Rhododendron,Choniastrum,esquirolii,,species,Valid,Repert. Spec. Nov. Regni Veg. 12: 102 (1913),Synonym,wfo-0001229732,,,"Source in seed data: tro Update namepublishedIn from Repert. Spec. Nov. Regni Veg. 12(312–316): 102 1913 to Repert. Spec. Nov. Regni Veg. 12: 102 (1913), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http:",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001048920,The Ericaceae TEN,A,tro-12305048
wfo-0000364559,urn:lsid:ipni.org:names:330979-1,489270,Ledum nipponicum,species,,(Nakai) Tolm.,Ericaceae,Ericoideae,,,Ledum,Rhododendron,nipponicum,,species,Invalid,Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R. 15: 205 (1953),Synonym,wfo-0001276025,wfo-1200001282,,"Source in seed data: ksu Update namepublishedIn from Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R. 15: 205 1953 to Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R. 15: 205 (1953), information provided by Alan E. on email Jun. 07 2021",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000364559,The Ericaceae TEN,A,kew-2349891
wfo-0001048073,urn:lsid:ipni.org:names:333630-1,12303820,Rhododendron yungchangense,species,wfo-1000002622,Cullen,Ericaceae,Ericoideae,,,Rhododendron,Rhododendron,yungchangense,,species,Valid,Notes Roy. Bot. Gard. Edinburgh 36: 123 (1978),Accepted,,,,"Source in seed data: tro Update namepublishedIn from Notes Roy. Bot. Gard. Edinburgh 36(1): 123 1978 to Notes Roy. Bot. Gard. Edinburgh 36: 123 (1978), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://ww",2022-04-16,2024-11-27,,The Ericaceae TEN,A,tro-12303820
wfo-0001365577,urn:lsid:ipni.org:names:948700-1,ten:padme.rbge.org.uk:ericaceae15060,Rhododendron clementinae subsp. aureodorsale,subspecies,,W.P.Fang ex J.Q.Fu,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,clementinae,aureodorsale,subspecies,Valid,"Fl. Tsinling. 1(4): 393, 20 (1983)",Synonym,wfo-0001333134,,,"Source in seed data: ipni Update namepublishedIn from Fl. Tsinling. 1(4): 393, 20. 1983 to Fl. Tsinling. 1(4): 393 (1983), information provided by Alan E. on email Jun. 07 2021",2022-04-16,2025-03-12,https://padme.rbge.org.uk/wfo/wfo-0001365577,The Ericaceae TEN,A,
wfo-0000403054,urn:lsid:ipni.org:names:332184-1,561536,Rhododendron chrysolepis,species,wfo-1000040538,Hutch. & Kingdon-Ward,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,chrysolepis,,species,Valid,"Hutchinson in Notes Bot. Gard. Edinb. xvi. 172 (1931), latine.",Accepted,,,,"Source in seed data: ksu Updated namepublishedIn from Notes Roy. Bot. Gard. Edinburgh 16: 172 1931 to Hutchinson in Notes Bot. Gard. Edinb. xvi. 172 (1931), latine. , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000403054,The Ericaceae TEN,A,kew-2423440
wfo-0000400691,urn:lsid:ipni.org:names:332654-1,557614,Rhododendron jasminiflorum,species,wfo-1000002634,Hook.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,jasminiflorum,,species,Valid,Bot. Mag. 76: t. 4524 (1850),Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Bot. Mag. 76: t. 4524 1850 to Bot. Mag. 76: t. 4524 (1850), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-24",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000400691,The Ericaceae TEN,A,kew-2419454
wfo-0001229524,urn:lsid:ipni.org:names:880164-1,50060288,Rhododendron faberi subsp. prattii,subspecies,,(Franch.) D.F.Chamb.,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,faberi,prattii,subspecies,Valid,Notes Roy. Bot. Gard. Edinburgh 36: 120 (1978),Synonym,wfo-0001048902,wfo-0001048902,,"Source in seed data: tro Update namepublishedIn from Notes Roy. Bot. Gard. Edinburgh 36(1): 120 1978 to Notes Roy. Bot. Gard. Edinburgh 36: 120 (1978), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://ww",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001229524,The Ericaceae TEN,A,tro-50060288
wfo-0001275635,urn:lsid:ipni.org:names:1001882-1,50281173,Rhododendron morii var. taitunense,variety,,(T.Yamaz) D.F.Chamb.,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,morii,taitunense,variety,Valid,in R.H.S. Rhododendron Handb. 1998 350 (1998):.,Synonym,wfo-0001048944,wfo-0001275637,,"Source in seed data: tro Updated namepublishedIn from to in R.H.S. Rhododendron Handb. 1998 350 (1998):. , information provided by Alan E. on email Oct. 12 2020 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-50281173",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0001275635,The Ericaceae TEN,A,tro-50281173
wfo-1200001470,,ten:padme.rbge.org.uk:ericaceae15420,Rhododendron sphaeroblastum var. wumungense,variety,wfo-0001048627,K.M.Feng,Ericaceae,Ericoideae,,,Rhododendron,Hymenanthes,sphaeroblastum,wumungense,variety,Valid,Acta Bot. Yunnan. 5:265. (1983),Accepted,,,,,2022-07-26,2022-11-20,https://padme.rbge.org.uk/wfo/wfo-1200001470,The Ericaceae TEN,A,
wfo-1200001441,urn:lsid:ipni.org:names:77252885-1,ten:padme.rbge.org.uk:ericaceae14737,Rhododendron quadrasianum var. selebicum,variety,wfo-0000400223,J.J.Sm.,Ericaceae,Ericoideae,,,Rhododendron,Vireya,quadrasianum,selebicum,variety,Valid,"Bull. Jard. Bot. Buitenzorg sér. 3, 13: 443 (1935)",Accepted,,,,,2022-07-26,2025-01-23,https://padme.rbge.org.uk/wfo/wfo-1200001441,The Ericaceae TEN,A,
wfo-0000405515,urn:lsid:ipni.org:names:333243-1,565280,Rhododendron roseiflorum,species,wfo-1000002634,P.F.Stevens,Ericaceae,Ericoideae,,,Rhododendron,Vireya,roseiflorum,,species,Valid,"Adansonia , n.s., 18: 55 (1978)",Accepted,,,,"Source in seed data: ksu Update namepublishedIn from Adansonia n.s., 18: 55 1978 to Adansonia , n.s., 18: 55 (1978), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/ke",2022-04-16,2024-06-04,https://padme.rbge.org.uk/wfo/wfo-0000405515,The Ericaceae TEN,A,kew-2427230
